file,folder,filename,condition,turns_short,alpha,severity_level,width,height,mode,sha256
Dataset\IR_trans_bmp\p5_320\p5051.bmp,p5_320,p5051.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,70b34f187be3fafbe63772bd3d47f5f324d9d2cb35a95dc6087a25f1a2bc6e28
Dataset\IR_trans_bmp\p5_320\p5052.bmp,p5_320,p5052.bmp,SC320,320,0.5333333333333333,4,320,240,RGB,0a6975e10f6130539aa0dd677cc1dc6c2140f0ff70ae06b0582f0a1f6c80019f
Dataset\IR_trans_bmp\p6_400\p6001.bmp,p6_400,p6001.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,9bde9fe83e60a1ddf8e13ab85356e194a0b429863769c992511fdf8bdef83948
Dataset\IR_trans_bmp\p6_400\p6002.bmp,p6_400,p6002.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,c172ac8c8b89e08e00e36885cd6dd5ca4ee0223bfd0908d6410e5e4685cc46f0
Dataset\IR_trans_bmp\p6_400\p6003.bmp,p6_400,p6003.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,0a5b4559d1bfcc2359cf06e3158feb2fcc840eaeca682d8a3042af8a8d92d81b
Dataset\IR_trans_bmp\p6_400\p6004.bmp,p6_400,p6004.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,8518767dc2b9e7f4fa1c77aaf21c6525667a5de0ae67952b458d19d4b94f37ec
Dataset\IR_trans_bmp\p6_400\p6005.bmp,p6_400,p6005.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,1cb8d77bf2605b06d07ce3efe9618481a8ded5dd39beb80c232e392729c28bac
Dataset\IR_trans_bmp\p6_400\p6006.bmp,p6_400,p6006.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,dedc654280a9adffe563e765f06eb8d24ef02c4628c7caaaab3bdd2f20b079f1
Dataset\IR_trans_bmp\p6_400\p6007.bmp,p6_400,p6007.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,c53e729c4d793d26a768d976ccf91a5378f9d23cdcddafdfda559757af6c617e
Dataset\IR_trans_bmp\p6_400\p6008.bmp,p6_400,p6008.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,9b690786fa95026387bc1e622e7e9603f6554cc4f05033ea8eebba387eefcbb6
Dataset\IR_trans_bmp\p6_400\p6009.bmp,p6_400,p6009.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,e02e786132001be2487cdd1c01bb019315a159cce32d403e1f74c8d7c90243d1
Dataset\IR_trans_bmp\p6_400\p6010.bmp,p6_400,p6010.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,c2af62265426685801b823df06e8a458140a97c550d313671be0cbb20dacfae3
Dataset\IR_trans_bmp\p6_400\p6011.bmp,p6_400,p6011.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,f5da8b555012c3a38a31e6458dc316993d033c94198b78c1fdcbfac15cf7f7e4
Dataset\IR_trans_bmp\p6_400\p6012.bmp,p6_400,p6012.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,10f2661e6b6c1a86627e2d199e6629c3248e363109523999e38a68e2b23aa288
Dataset\IR_trans_bmp\p6_400\p6013.bmp,p6_400,p6013.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,1515f68acc7e1e92ad806fc97ab8f349ffbbd2c01c3e466a812be1d84106f48b
Dataset\IR_trans_bmp\p6_400\p6014.bmp,p6_400,p6014.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,a172acc8189d35b3cafadc600b1bb513e976945d50b82410c6be3c9c6a4d7cce
Dataset\IR_trans_bmp\p6_400\p6015.bmp,p6_400,p6015.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,b62149a7a3a4176cee4603658a2ae0ecb88f8bc2e194fe1f6adf658f6b1962d5
Dataset\IR_trans_bmp\p6_400\p6016.bmp,p6_400,p6016.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,db2f3e84a3e875ce6b7ed959f3df4bf489c693e85f82a2ff85b1d6ea491fcc59
Dataset\IR_trans_bmp\p6_400\p6017.bmp,p6_400,p6017.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,1789e321515e740b3dc14775e3beb916ed23548b29675cd2e9d984f43f96489c
Dataset\IR_trans_bmp\p6_400\p6018.bmp,p6_400,p6018.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,549022d1d03b60e40e977fc2fcfad147d749f64f90e6ceb033a618ff0ec12cb0
Dataset\IR_trans_bmp\p6_400\p6019.bmp,p6_400,p6019.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,46018781bd7234ed1c6aa80b632e9f7293368ad4631d733012fb5869ceeae596
Dataset\IR_trans_bmp\p6_400\p6020.bmp,p6_400,p6020.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,09526ac93397fd5f20b1d0d0c2b92c9da387d4ff2cb5e06a9e3dad3eed47d2f4
Dataset\IR_trans_bmp\p6_400\p6021.bmp,p6_400,p6021.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,b7a302fb522b34fb1b349b39e99745f45c2d181a524e7447e4d89f9b4b5d6cdc
Dataset\IR_trans_bmp\p6_400\p6022.bmp,p6_400,p6022.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,06ec14a80014a5100d3d047ff24abfa2d4edfd3b33206bfcb96bfcdf7fa95d99
Dataset\IR_trans_bmp\p6_400\p6023.bmp,p6_400,p6023.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,aed879b11ce5f171bcbf922188db5a7ea27ff55d4384d28f34dbcee81df5ad73
Dataset\IR_trans_bmp\p6_400\p6024.bmp,p6_400,p6024.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,5f83ac56647ae380ac9c08f5a678aac41bcccaf843381a4ebb6d25ff7180a408
Dataset\IR_trans_bmp\p6_400\p6025.bmp,p6_400,p6025.bmp,SC400,400,0.6666666666666666,5,320,240,RGB,bab50aafffcc7b4bbf1acf5714c3bb7a22a695bc91dd1256d866078efb77d784
Dataset\IR_trans_bmp\p7_480\p7026.bmp,p7_480,p7026.bmp,SC480,480,0.8,6,320,240,RGB,d5e022877677e2057cc006cca165de6e804ea6cdc432512bf725aa68474afbd1
Dataset\IR_trans_bmp\p7_480\p7027.bmp,p7_480,p7027.bmp,SC480,480,0.8,6,320,240,RGB,97ce3999724b92a7d0c3dc45ab1812590b361f9cbd4b0829726a886fb89b0574
Dataset\IR_trans_bmp\p7_480\p7028.bmp,p7_480,p7028.bmp,SC480,480,0.8,6,320,240,RGB,473d8e679d443b8fdfb72b2c2d4d542bac903b51586fa28d5d107ea7287637bb
Dataset\IR_trans_bmp\p7_480\p7029.bmp,p7_480,p7029.bmp,SC480,480,0.8,6,320,240,RGB,652aa597dd8ce8085edc932d250c0cb29e8594e6f30bad2d22288f097e2334ea
Dataset\IR_trans_bmp\p7_480\p7030.bmp,p7_480,p7030.bmp,SC480,480,0.8,6,320,240,RGB,e3c50a5c5288cd2c55cae076cebab0a4b656539a47fd45df3fbebebf4d5940b8
Dataset\IR_trans_bmp\p7_480\p7031.bmp,p7_480,p7031.bmp,SC480,480,0.8,6,320,240,RGB,c07b98bc7a8096671c535f1619462cc1930f1044d3f81abde47f2e3f7b88e500
Dataset\IR_trans_bmp\p7_480\p7032.bmp,p7_480,p7032.bmp,SC480,480,0.8,6,320,240,RGB,c41c26d34f1ed442c927f131f0641c6268e1b5b94e6aafa15070d795848a6d0c
Dataset\IR_trans_bmp\p7_480\p7033.bmp,p7_480,p7033.bmp,SC480,480,0.8,6,320,240,RGB,90d3243eda4b8e91f945629b30d67ce014f269ec75a0004f6ffe116993bf9481
Dataset\IR_trans_bmp\p7_480\p7034.bmp,p7_480,p7034.bmp,SC480,480,0.8,6,320,240,RGB,2c4812ca641879176e6764c4edd3211c3166a9e97694e14714d5633febe89c41
Dataset\IR_trans_bmp\p7_480\p7035.bmp,p7_480,p7035.bmp,SC480,480,0.8,6,320,240,RGB,09b002faf6a8e7be46079c138a853ad4c9af8cf054db9dfcc60583f6ae5a6775
Dataset\IR_trans_bmp\p7_480\p7036.bmp,p7_480,p7036.bmp,SC480,480,0.8,6,320,240,RGB,26747ec4d263ed0ab58955b9f6b3f8c7411545131ee7997b29fb68e9a567394b
Dataset\IR_trans_bmp\p7_480\p7037.bmp,p7_480,p7037.bmp,SC480,480,0.8,6,320,240,RGB,42ea8fb9aca7d82eb6ba46e4697f27f332a65be7467e9a7234dfffba47e6f7fd
Dataset\IR_trans_bmp\p7_480\p7038.bmp,p7_480,p7038.bmp,SC480,480,0.8,6,320,240,RGB,a70775cf3899f31a0f50616c4540c8f33d6a9f888f6a3aadab62d7d81027ef13
Dataset\IR_trans_bmp\p7_480\p7039.bmp,p7_480,p7039.bmp,SC480,480,0.8,6,320,240,RGB,100a6f34038b248215ae175f5059ba594afc32007aed7f25d160eaddffab0bbc
Dataset\IR_trans_bmp\p7_480\p7040.bmp,p7_480,p7040.bmp,SC480,480,0.8,6,320,240,RGB,ce687404459aac765817351cd414b9ec26bc50e20927ddca9f2640ad909f58c8
Dataset\IR_trans_bmp\p7_480\p7041.bmp,p7_480,p7041.bmp,SC480,480,0.8,6,320,240,RGB,9f66f4a6c4177dab1531599190f82af292c19e5524765cb109f1ed1024e87576
Dataset\IR_trans_bmp\p7_480\p7042.bmp,p7_480,p7042.bmp,SC480,480,0.8,6,320,240,RGB,c446cfa8ab12e8215835575c99d6472ce110072ecab17bae7669e720442074fa
Dataset\IR_trans_bmp\p7_480\p7043.bmp,p7_480,p7043.bmp,SC480,480,0.8,6,320,240,RGB,636b211f54d08830830796096b886c825851748441b64eab4456e6b96f2af9dc
Dataset\IR_trans_bmp\p7_480\p7044.bmp,p7_480,p7044.bmp,SC480,480,0.8,6,320,240,RGB,33da5477e56af9fdd36adce3ae3a7ecf07cb22ea80fd1ab35bd9adc96d18b540
Dataset\IR_trans_bmp\p7_480\p7045.bmp,p7_480,p7045.bmp,SC480,480,0.8,6,320,240,RGB,b806a325a7abfce5dbc9aca1e64f2c330a0d747c447ae96e25e65759f26a6539
Dataset\IR_trans_bmp\p7_480\p7046.bmp,p7_480,p7046.bmp,SC480,480,0.8,6,320,240,RGB,8e1ada1ae4892f3719f2ba833558331c874518acd0958d66a3a273f7f596c55c
Dataset\IR_trans_bmp\p7_480\p7047.bmp,p7_480,p7047.bmp,SC480,480,0.8,6,320,240,RGB,cb70ad6596f7ebfae60adef4a9a86bf916b30ed7702854ef67df51cc3d405810
Dataset\IR_trans_bmp\p7_480\p7048.bmp,p7_480,p7048.bmp,SC480,480,0.8,6,320,240,RGB,a51efc68eac0ae45696b24f673bd636c80407a871a82e710fa94ae65a32314c0
Dataset\IR_trans_bmp\p7_480\p7049.bmp,p7_480,p7049.bmp,SC480,480,0.8,6,320,240,RGB,c2706bd8247033f366ca6f3f8f8cc5706d863d43a0aadb8548635a4b85afa5b8
Dataset\IR_trans_bmp\p7_480\p7050.bmp,p7_480,p7050.bmp,SC480,480,0.8,6,320,240,RGB,35587984f14070bb5d8fc3712b5920a7ece4556622668d979e48286dd4ca42cb
Dataset\IR_trans_bmp\p7_480\p7051.bmp,p7_480,p7051.bmp,SC480,480,0.8,6,320,240,RGB,888d52de31f58b3142c9066fa3c2538fa006a2dc2e82821802860d569fb0696f
Dataset\IR_trans_bmp\p7_480\p7052.bmp,p7_480,p7052.bmp,SC480,480,0.8,6,320,240,RGB,8b2eb6c5544c03828360accd8d830622167d3b7f7b4661f21144f5ea92241a51
Dataset\IR_trans_bmp\p8_560\p8053.bmp,p8_560,p8053.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,7968f6cedb7eaf8cce3d0cb0428f6a25c4ae91d659ef324cef2e429fa6d7a022
Dataset\IR_trans_bmp\p8_560\p8054.bmp,p8_560,p8054.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,9eadb20506408f3549ea91e82b3b6eee938a4553c32c33d39502ac81cdce763c
Dataset\IR_trans_bmp\p8_560\p8055.bmp,p8_560,p8055.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,bdb67580710244d0e9baa779d2f07bcac10833c21a0f53b4e72dada9563fcc9d
Dataset\IR_trans_bmp\p8_560\p8056.bmp,p8_560,p8056.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,7ff00accd2ade2793bf27e6e119015936d7e222cf77c989078af376c84a9605f
Dataset\IR_trans_bmp\p8_560\p8057.bmp,p8_560,p8057.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,8287b34f880f4f8b9ca9adcb373030fbaa2f718e2a2fcc45af923cd9f6b049ec
Dataset\IR_trans_bmp\p8_560\p8058.bmp,p8_560,p8058.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,53e21be08d801271768b75d0c7eeddc86fb99a273938919c8aaa82bcac92370a
Dataset\IR_trans_bmp\p8_560\p8059.bmp,p8_560,p8059.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,4144ba06b6c0e0be34556e120d3049d0c8f1e81c700640637ba531eadc9f841e
Dataset\IR_trans_bmp\p8_560\p8060.bmp,p8_560,p8060.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,767ae932731bf353f1278740de77880f63adff54405c744a01fb7769fad9dcba
Dataset\IR_trans_bmp\p8_560\p8061.bmp,p8_560,p8061.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,ea509bd5a956be8dbb7444aea0bdc3d71cb200866dcd59f8798525259e06a011
Dataset\IR_trans_bmp\p8_560\p8062.bmp,p8_560,p8062.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,c14b81a9cdfb24fd06ec14355811d0ce0637bdb53770db71e0cf485a3dea7151
Dataset\IR_trans_bmp\p8_560\p8063.bmp,p8_560,p8063.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,de4aadea4e416b0c3d031516b4b01b5ba9593ce4848dc91215c5f2e525dcf07d
Dataset\IR_trans_bmp\p8_560\p8064.bmp,p8_560,p8064.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,794a541c4afdd647fa06207d08a24c277c89fdcb6b73cdf179a687b3b7835f4a
Dataset\IR_trans_bmp\p8_560\p8065.bmp,p8_560,p8065.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,dadc24c55799bea2cf6bc2fa99a5c54bb6424775e47ae11fd75c4924a8282f87
Dataset\IR_trans_bmp\p8_560\p8066.bmp,p8_560,p8066.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,656f8e7f6d540380586fe549ec95059a3a0717a38720034ad1fad9e5b09640f1
Dataset\IR_trans_bmp\p8_560\p8067.bmp,p8_560,p8067.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,634f07513b09bc40144d10e11867d3b8cffbc62dbc671e1de4764073e98d5564
Dataset\IR_trans_bmp\p8_560\p8068.bmp,p8_560,p8068.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,c56634c3c150230c5b269ad22d1fb660f96294abedfc0478ac8fe4410ac40505
Dataset\IR_trans_bmp\p8_560\p8069.bmp,p8_560,p8069.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,0f7788b75b97d7776b185a2ab4cf457b9af8b90bbb4ae43abec3ec3765c38892
Dataset\IR_trans_bmp\p8_560\p8070.bmp,p8_560,p8070.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,fe365a6124a8c8b526938fcb024c4434301d4a185318baaf297d7f2d13a7abe1
Dataset\IR_trans_bmp\p8_560\p8071.bmp,p8_560,p8071.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,70b02bdb8c021dbd43fb29679e44f4a4c4ef0a6979176a1d31839461b9f3c2d2
Dataset\IR_trans_bmp\p8_560\p8072.bmp,p8_560,p8072.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,2392b5714990016f3c893d2895004bccfd15e4b4880386fdbf89e0009986a0d7
Dataset\IR_trans_bmp\p8_560\p8073.bmp,p8_560,p8073.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,c1ad582701d3d4dc398cb11ceb8308dc5fbcc3286ecfb6cf50b7de65ccb231fe
Dataset\IR_trans_bmp\p8_560\p8074.bmp,p8_560,p8074.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,1e74b1b71b491dd1ae402d6a64dd86f1df7c99938272acab6771dd85fd5d45ce
Dataset\IR_trans_bmp\p8_560\p8075.bmp,p8_560,p8075.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,8dec29612d8fa52ed380026f020d9dded8d78a64eedd915c03321d3d4d34ddf6
Dataset\IR_trans_bmp\p8_560\p8076.bmp,p8_560,p8076.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,c98f9a19d5de7d2613f2586443e40401fa85883a2de30fb711ddb10dae86227d
Dataset\IR_trans_bmp\p8_560\p8077.bmp,p8_560,p8077.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,049abde95138fa93f7332ba8248ccfe013b302a9c16ef15820ac56d628ee5e09
Dataset\IR_trans_bmp\p8_560\p8078.bmp,p8_560,p8078.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,5fcd815ad0029d056a7a5d44e68984f08ed50a16637942b666161572d84ef32a
Dataset\IR_trans_bmp\p8_560\p8079.bmp,p8_560,p8079.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,0abf67e9ce9b888eb53f151ee3c3604a25552522d434a538e0168eabe1c902bb
Dataset\IR_trans_bmp\p8_560\p8080.bmp,p8_560,p8080.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,ebee614bd5cb5dcb6a4e15c0f350cfd0bf3b5107718ae8ec20b7aa2ac409bd1d
Dataset\IR_trans_bmp\p8_560\p8081.bmp,p8_560,p8081.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,df81fccccdff80b627e7a22b646bef720be2e586b14bec6e4b6124e1ec4d252d
Dataset\IR_trans_bmp\p8_560\p8082.bmp,p8_560,p8082.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,05052dba31bb5c07e4f5a8ec96c7e8ca51632f7c1197a4b6fc85d0ae4319cef3
Dataset\IR_trans_bmp\p8_560\p8083.bmp,p8_560,p8083.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,af35ada36209d1ef16e69627eef83c2cc61424a991966088eb0a9da5648537bb
Dataset\IR_trans_bmp\p8_560\p8084.bmp,p8_560,p8084.bmp,SC560,560,0.9333333333333333,7,320,240,RGB,ad37f6f6fba2c8d66ba76668af39904c999c85a5deeff7ab82d1efa40e271e1c
Dataset\IR_trans_bmp\p9_600\p9085.bmp,p9_600,p9085.bmp,SC600,600,1.0,8,320,240,RGB,db54701db50de00a05e4b28984634a2e871ed8863bb8a49f6582f70da88d2cfb
Dataset\IR_trans_bmp\p9_600\p9086.bmp,p9_600,p9086.bmp,SC600,600,1.0,8,320,240,RGB,5c95deeee5661fee4460681787974800dc3149461afb4e6c867ebe08bd255bbc
Dataset\IR_trans_bmp\p9_600\p9087.bmp,p9_600,p9087.bmp,SC600,600,1.0,8,320,240,RGB,ca2c341c9cc95059524b0b5feb4db557582276c56e0739abfeb0fa6df63aea46
Dataset\IR_trans_bmp\p9_600\p9088.bmp,p9_600,p9088.bmp,SC600,600,1.0,8,320,240,RGB,88aa76bb10aed507b501eec250d7bbe7e4b54f96521a57b06faa6fd651003d3c
Dataset\IR_trans_bmp\p9_600\p9089.bmp,p9_600,p9089.bmp,SC600,600,1.0,8,320,240,RGB,22ba34671e7d0eb9abc29b05cf76ce55a812534fda299af0105e26720c078614
Dataset\IR_trans_bmp\p9_600\p9090.bmp,p9_600,p9090.bmp,SC600,600,1.0,8,320,240,RGB,2466726e2bfe4e47ae3c28c4e2e3f0b307846fdff7946bbf84b1d4c801655366
Dataset\IR_trans_bmp\p9_600\p9091.bmp,p9_600,p9091.bmp,SC600,600,1.0,8,320,240,RGB,0bbdb86849813f3e62fd6ddcf53d743167b68faee92c09f14e3737bb89e07f47
Dataset\IR_trans_bmp\p9_600\p9092.bmp,p9_600,p9092.bmp,SC600,600,1.0,8,320,240,RGB,9f19408fb4d28596647b379ecfc310a88e85c30a46732ebc6c562f2994405ee5
Dataset\IR_trans_bmp\p9_600\p9093.bmp,p9_600,p9093.bmp,SC600,600,1.0,8,320,240,RGB,6ae3eef32d4a59b33d8b0e455163386a0c65da913706f86aefb29318ddbf0082
Dataset\IR_trans_bmp\p9_600\p9094.bmp,p9_600,p9094.bmp,SC600,600,1.0,8,320,240,RGB,e77bca8bfac29737998a763243a7b7fac9bdc6b14e2ad3af8b3e39e6ccd1bd78
Dataset\IR_trans_bmp\p9_600\p9095.bmp,p9_600,p9095.bmp,SC600,600,1.0,8,320,240,RGB,e16946196710a0106d91e60d832629de6dedb8f37c5cc77b7e392ff17b548e11
Dataset\IR_trans_bmp\p9_600\p9096.bmp,p9_600,p9096.bmp,SC600,600,1.0,8,320,240,RGB,ace8f20f36ba2d99f89d0fc7b0e6e23c86b0730b60c1a4a94b750f8fcc6ee748
Dataset\IR_trans_bmp\p9_600\p9097.bmp,p9_600,p9097.bmp,SC600,600,1.0,8,320,240,RGB,2bc792fdb481e7d8c955399f0143b1a75dcd5e256b785a6679c43895e4caf128
Dataset\IR_trans_bmp\p9_600\p9098.bmp,p9_600,p9098.bmp,SC600,600,1.0,8,320,240,RGB,a6f842b638e9e15465da4d5c14efa3b0c30507f5df72638a7b5d644e084a14f5
Dataset\IR_trans_bmp\p9_600\p9099.bmp,p9_600,p9099.bmp,SC600,600,1.0,8,320,240,RGB,b9e4a69adc50676f4a0173dc57b70441cacbb10135d2513e7aab59fd98954135
Dataset\IR_trans_bmp\p9_600\p9100.bmp,p9_600,p9100.bmp,SC600,600,1.0,8,320,240,RGB,4c2ef94713d2684aa3ac1832cc33c2adb6f09caee851a469c42945c2e79cbc9e
Dataset\IR_trans_bmp\p9_600\p9101.bmp,p9_600,p9101.bmp,SC600,600,1.0,8,320,240,RGB,7d9b5ff49f0ced9c97406931e7bbbeeadff68b7ca1fbd10f64cfe5aee3f94487
Dataset\IR_trans_bmp\p9_600\p9102.bmp,p9_600,p9102.bmp,SC600,600,1.0,8,320,240,RGB,fed465aee5d81b22be25f524591dba3e2b4dc88ca40266b1583d9fd07cade29a
Dataset\IR_trans_bmp\p9_600\p9103.bmp,p9_600,p9103.bmp,SC600,600,1.0,8,320,240,RGB,39acf6db743922c55e096272f36a3341a6beb790d6556823db436e42afc6305b
Dataset\IR_trans_bmp\p9_600\p9104.bmp,p9_600,p9104.bmp,SC600,600,1.0,8,320,240,RGB,a02440c2f7ffd324b35770b974c0bc056a17a5858313f8b072a06f1526661441
Dataset\IR_trans_bmp\p9_600\p9105.bmp,p9_600,p9105.bmp,SC600,600,1.0,8,320,240,RGB,333868a6155ec2d7acd05313af054a9136bc3c4f9c0edaa0eb393bd29c726c19
Dataset\IR_trans_bmp\p9_600\p9106.bmp,p9_600,p9106.bmp,SC600,600,1.0,8,320,240,RGB,b045a1d43770a31ced4d0117655efec58e91c8856429f2c41ddce5b3c328c6c4
Dataset\IR_trans_bmp\p9_600\p9107.bmp,p9_600,p9107.bmp,SC600,600,1.0,8,320,240,RGB,7461827ab90c85308f1851ae1d312d09fafe1c451150cac7923c3f0c33267ff8
Dataset\IR_trans_bmp\p9_600\p9108.bmp,p9_600,p9108.bmp,SC600,600,1.0,8,320,240,RGB,ac712b9d81e4a8f39919918a1d53d685b3bb3d7f7be10be0944bb1e2c4e4c29d
Dataset\IR_trans_bmp\p9_600\p9109.bmp,p9_600,p9109.bmp,SC600,600,1.0,8,320,240,RGB,e9ecaaeda6d22bfc0e5230da729efca56b8a5f4a47c3dbb224a18a56e0e12805
Dataset\IR_trans_bmp\p9_600\p9110.bmp,p9_600,p9110.bmp,SC600,600,1.0,8,320,240,RGB,251c457661a9a71f07a117a2630c4c9b057b9573378b86b4607235a5ced08c87
Dataset\IR_trans_bmp\p9_600\p9111.bmp,p9_600,p9111.bmp,SC600,600,1.0,8,320,240,RGB,0d93e518943a99a49f67b9aa4e78f986bf8fa4ca9f2aa6359dcb19c83008d51b
Dataset\IR_trans_bmp\p9_600\p9112.bmp,p9_600,p9112.bmp,SC600,600,1.0,8,320,240,RGB,ceefe378a10890fee7c4b1a0e95b80ee3b2b16c900aaa01a7e83131611c0bb1e
Dataset\IR_trans_bmp\p9_600\p9113.bmp,p9_600,p9113.bmp,SC600,600,1.0,8,320,240,RGB,c771779093d2988ee47a547d874ab7c8558159d3bb72cc78eafc4534beacf266
Dataset\IR_trans_bmp\p9_600\p9114.bmp,p9_600,p9114.bmp,SC600,600,1.0,8,320,240,RGB,9b7e955775bc9ca84aa2a451b3e46c1b076d26e4b9bac0cd2f794713db587ec4
Dataset\IR_trans_bmp\p9_600\p9115.bmp,p9_600,p9115.bmp,SC600,600,1.0,8,320,240,RGB,39eaf964d0e5e38a9ec46a729a0670e7b008615020268e6ed32259b7d7feba45
Dataset\IR_trans_bmp\p9_600\p9116.bmp,p9_600,p9116.bmp,SC600,600,1.0,8,320,240,RGB,7ce7aad30f061874bfb28a21d3c8b1cfe39206c0203d0118cc494f8cb2c1b60f
Dataset\IR_trans_bmp\p9_600\p9117.bmp,p9_600,p9117.bmp,SC600,600,1.0,8,320,240,RGB,2aa2986882fc3b34df313a54cb757f8cfa13241edd0bcf188baab33338c08aa1
Dataset\IR_trans_bmp\p9_600\p9118.bmp,p9_600,p9118.bmp,SC600,600,1.0,8,320,240,RGB,47e5001d2dde1ed4657b8f4711fbe596186f19435e40980872ee340b9f2ad881
Dataset\IR_trans_bmp\p9_600\p9119.bmp,p9_600,p9119.bmp,SC600,600,1.0,8,320,240,RGB,00abec21db4f96869e87900d69af98af54a7e5278c5c4982247e39ce8e3c6813
Dataset\IR_trans_bmp\p9_600\p9120.bmp,p9_600,p9120.bmp,SC600,600,1.0,8,320,240,RGB,462a0943529d8cd40f8b2cea920276cde8c0d70b0cfb85772986a997b8218f65
Dataset\IR_trans_bmp\p9_600\p9121.bmp,p9_600,p9121.bmp,SC600,600,1.0,8,320,240,RGB,9f4aff7a286939872bfcd2e7261667784744ba435072e3641215c3dac08a7aeb
Dataset\IR_trans_bmp\p9_600\p9122.bmp,p9_600,p9122.bmp,SC600,600,1.0,8,320,240,RGB,b48861945fdc78772b9a05244bd37a2ab10c5936e12e7a739189448ac0e991fd
Dataset\IR_trans_bmp\p9_600\p9123.bmp,p9_600,p9123.bmp,SC600,600,1.0,8,320,240,RGB,35488e18e16fec15f565bf5cbb65fd22d05254ddac2ccd901fe75caa8f07a227
Dataset\IR_trans_bmp\p9_600\p9124.bmp,p9_600,p9124.bmp,SC600,600,1.0,8,320,240,RGB,f723db24813d084028520ff517c0520f4bb2578b6c41d22f4cc173fdce850967
